2021-12-08 15:22:03+00:00,SitiMar04425495,b'@gojekindonesia paket pas Dateng begini.. ibu saya dimaki maki sama driver karena saya lupa note orderan untuk ibu\xe2\x80\xa6 https://t.co/v9opG8BYUC',paket pas dateng begini ibu saya dimaki maki sama driver karena saya lupa note orderan untuk ibu,Netral
2021-12-08 15:17:47+00:00,iFir17,b'@Lessien_D @FaqihCVS @gojekindonesia @GrabID @TokopediaCare Bs iya bs ga sih. Emang beda antara instan &amp; same day.\xe2\x80\xa6 https://t.co/S48F7haoGP',d bs iya bs ga sih emang beda antara instan amp same day,Netral
2021-12-08 15:17:05+00:00,eruedian,b'@nkmotoyuta Kan gue foundernya gojek\xf0\x9f\xa4\xa9 ya nggak min? @gojekindonesia',kan gue foundernya gojek ya nggak min,Netral
2021-12-08 15:09:21+00:00,mhfawwazy,b'@muhraufan @gojekindonesia @gojekdesign jepang ada gojek fan?',jepang ada gojek fan,Netral
2021-12-08 15:07:38+00:00,harryakb10,"b'@gojekindonesia min cek dm dong, makasih'",min cek dm dong makasih,Positif
2021-12-08 15:04:52+00:00,AiefKhanNugraha,b'@gojekindonesia kak bisa ga si ganti email gojek soalnya nomor gopay udh terdaftar',kak bisa ga si ganti email gojek soalnya nomor gopay udh terdaftar,Netral
2021-12-08 15:04:30+00:00,anneesssy,"b'@gojekindonesia Baru aja tadi pagi. Driver klik arrived tapi ga muncul-muncul, dichat jg dicuekin. Kalo ga mau pick\xe2\x80\xa6 https://t.co/54gH6V5cUf'",baru aja tadi pagi driver klik arrived tapi ga muncul muncul dichat jg dicuekin kalo ga mau pick,Netral
2021-12-08 15:00:51+00:00,SitiMar04425495,b'@gojekindonesia udah driver maki-maki mama gua eh orderannya kurang ... Tolong dong ditindak https://t.co/9II7nhCYNo',udah driver maki maki mama gua eh orderannya kurang tolong dong ditindak,Netral
2021-12-08 14:58:50+00:00,minseulhwa01,"b'@gojekindonesia Halo admin, tolong cek dm yaaa'",halo admin tolong cek dm yaaa,Netral
2021-12-08 14:56:51+00:00,tetehnyawoozi,"b'belum balik, lumayan ih buat jajan bakso @gojekindonesia'",belum balik lumayan ih buat jajan bakso,Positif
